     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             652             752             852             952            1052            1152            1252            1352            1452            1752            2052            2352            2652            2952
    20    0.822891E-09   -0.140332E-07   -0.304355E-06    0.203583E-06    0.554257E-06    0.103349E-05    0.165182E-05    0.231325E-05    0.289579E-05    0.331951E-05    0.669427E-05   -0.936192E-06   -0.371757E-04   -0.103680E-03   -0.191952E-03   -0.279888E-03   -0.335795E-03   -0.331845E-03   -0.255596E-03   -0.121968E-03    0.304155E-04    0.153159E-03    0.200657E-03    0.148331E-03    0.343013E-05   -0.413588E-03   -0.124727E-02    0.110514E-02    0.119999E-04   -0.111471E-02    0.124865E-02    0.190006E-03   -0.129266E-02    0.135859E-02    0.144231E-02    0.206114E-02    0.191522E-02    0.118990E-02    0.127033E-03   -0.358826E-03
    40   -0.417854E-08   -0.117853E-06   -0.687982E-06   -0.194155E-07    0.333582E-06    0.927524E-06    0.167006E-05    0.256222E-05    0.344873E-05    0.424713E-05    0.943007E-05    0.774619E-05   -0.228975E-04   -0.841916E-04   -0.168744E-03   -0.255760E-03   -0.314758E-03   -0.316802E-03   -0.247838E-03   -0.120597E-03    0.276798E-04    0.149796E-03    0.200844E-03    0.154726E-03    0.167437E-04   -0.372964E-03   -0.120933E-02    0.109691E-02    0.628627E-04   -0.107581E-02    0.121900E-02    0.224737E-03   -0.125341E-02    0.131235E-02    0.145771E-02    0.202591E-02    0.182617E-02    0.109848E-02    0.427053E-04   -0.396876E-03
    60   -0.184414E-07   -0.305132E-06   -0.106958E-05   -0.403309E-06   -0.166733E-07    0.681733E-06    0.172711E-05    0.302102E-05    0.442164E-05    0.583904E-05    0.140201E-04    0.215588E-04   -0.233674E-05   -0.590753E-04   -0.142826E-03   -0.233861E-03   -0.300850E-03   -0.311867E-03   -0.249219E-03   -0.124302E-03    0.263185E-04    0.154810E-03    0.214420E-03    0.175116E-03    0.397258E-04   -0.327917E-03   -0.121571E-02    0.114351E-02    0.150177E-03   -0.105870E-02    0.124902E-02    0.296584E-03   -0.126074E-02    0.131484E-02    0.158803E-02    0.216109E-02    0.180948E-02    0.101092E-02   -0.647856E-04   -0.471103E-03
    80   -0.319362E-07   -0.578720E-06   -0.142304E-05   -0.103261E-05   -0.654041E-06    0.329088E-06    0.165313E-05    0.350586E-05    0.562888E-05    0.792316E-05    0.201176E-04    0.402165E-04    0.258028E-04   -0.253273E-04   -0.109318E-03   -0.206941E-03   -0.285460E-03   -0.307927E-03   -0.252585E-03   -0.129804E-03    0.252205E-04    0.163978E-03    0.235253E-03    0.204074E-03    0.710055E-04   -0.269159E-03   -0.124194E-02    0.120546E-02    0.279288E-03   -0.103362E-02    0.129875E-02    0.404627E-03   -0.126995E-02    0.132505E-02    0.180353E-02    0.236300E-02    0.182535E-02    0.925132E-03   -0.245356E-03   -0.591521E-03
   100   -0.477148E-07   -0.956831E-06   -0.188951E-05   -0.190779E-05   -0.150534E-05   -0.424457E-06    0.141844E-05    0.388285E-05    0.684489E-05    0.102571E-04    0.274538E-04    0.637023E-04    0.617394E-04    0.184094E-04   -0.665861E-04   -0.173026E-03   -0.265485E-03   -0.302474E-03   -0.257578E-03   -0.137116E-03    0.243217E-04    0.176303E-03    0.262444E-03    0.242024E-03    0.111326E-03   -0.191455E-03   -0.128536E-02    0.127616E-02    0.461165E-03   -0.100077E-02    0.136264E-02    0.556187E-03   -0.126869E-02    0.133098E-02    0.212162E-02    0.265293E-02    0.190461E-02    0.834497E-03   -0.493371E-03   -0.772998E-03
   120   -0.741833E-07   -0.147448E-05   -0.247859E-05   -0.310919E-05   -0.281468E-05   -0.151007E-05    0.721223E-06    0.397792E-05    0.801495E-05    0.126802E-04    0.354904E-04    0.918553E-04    0.105718E-03    0.717906E-04   -0.131129E-04   -0.130375E-03   -0.238660E-03   -0.293058E-03   -0.262142E-03   -0.146698E-03    0.233045E-04    0.192334E-03    0.296427E-03    0.289405E-03    0.162921E-03   -0.945757E-04   -0.134250E-02    0.134699E-02    0.706071E-03   -0.938672E-03    0.144219E-02    0.752075E-03   -0.127406E-02    0.133724E-02    0.252027E-02    0.302057E-02    0.197914E-02    0.737830E-03   -0.848809E-03   -0.102489E-02
   140   -0.100387E-06   -0.208001E-05   -0.334439E-05   -0.457952E-05   -0.441320E-05   -0.302869E-05   -0.311533E-06    0.368761E-05    0.888041E-05    0.150025E-04    0.435164E-04    0.123609E-03    0.157394E-03    0.135795E-03    0.517609E-04   -0.755183E-04   -0.203188E-03   -0.280331E-03   -0.267017E-03   -0.157062E-03    0.221374E-04    0.211700E-03    0.338772E-03    0.348219E-03    0.226736E-03    0.277040E-04   -0.142025E-02    0.142396E-02    0.102219E-02   -0.876499E-03    0.155583E-02    0.101685E-02   -0.127459E-02    0.133872E-02    0.305940E-02    0.353832E-02    0.218241E-02    0.641527E-03   -0.128924E-02   -0.137848E-02
   160   -0.139633E-06   -0.278665E-05   -0.456573E-05   -0.630802E-05   -0.637114E-05   -0.488168E-05   -0.179539E-05    0.300853E-05    0.934598E-05    0.171195E-04    0.518975E-04    0.158850E-03    0.215812E-03    0.209846E-03    0.128700E-03   -0.102737E-04   -0.159588E-03   -0.262269E-03   -0.271135E-03   -0.169313E-03    0.212143E-04    0.235460E-03    0.390299E-03    0.420736E-03    0.304921E-03    0.174361E-03   -0.151238E-02    0.151255E-02    0.139870E-02   -0.801085E-03    0.170898E-02    0.135447E-02   -0.126087E-02    0.137272E-02    0.370536E-02    0.420845E-02    0.238205E-02    0.584028E-03   -0.183135E-02   -0.185360E-02
   180   -0.173826E-06   -0.356539E-05   -0.621255E-05   -0.817938E-05   -0.857955E-05   -0.701906E-05   -0.355526E-05    0.208398E-05    0.976997E-05    0.192382E-04    0.605165E-04    0.198603E-03    0.280709E-03    0.293037E-03    0.216289E-03    0.653946E-04   -0.109421E-03   -0.243273E-03   -0.275114E-03   -0.179854E-03    0.229763E-04    0.265435E-03    0.452786E-03    0.507434E-03    0.398800E-03    0.347338E-03   -0.163216E-02    0.162661E-02    0.186218E-02   -0.689264E-03    0.192916E-02    0.177663E-02   -0.125172E-02    0.143005E-02    0.454195E-02    0.519396E-02    0.273511E-02    0.531956E-03   -0.255150E-02   -0.249467E-02
