     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             652             752             852             952            1052            1152            1252            1352            1452            1752            2052            2352            2652            2952
    20    0.341485E-09    0.149619E-08   -0.482533E-08   -0.209627E-07   -0.546913E-07   -0.110860E-06   -0.189866E-06   -0.296411E-06   -0.428379E-06   -0.587092E-06   -0.153790E-05   -0.429459E-05   -0.634701E-05   -0.784305E-05   -0.831566E-05   -0.783128E-05   -0.685293E-05   -0.574957E-05   -0.484005E-05   -0.408477E-05   -0.367020E-05   -0.369945E-05   -0.415234E-05   -0.466036E-05   -0.467992E-05   -0.835794E-05    0.110782E-04    0.239108E-04    0.250149E-04    0.401479E-04    0.543648E-04    0.592732E-04    0.795068E-04    0.946666E-04    0.193884E-03    0.292638E-03    0.214961E-03    0.673101E-04   -0.108840E-03   -0.139719E-03
    40    0.419972E-09    0.851450E-08    0.136808E-07    0.861960E-08   -0.869743E-08   -0.421322E-07   -0.916085E-07   -0.161609E-06   -0.251540E-06   -0.361691E-06   -0.982663E-06   -0.291182E-05   -0.442991E-05   -0.556303E-05   -0.598427E-05   -0.575033E-05   -0.516964E-05   -0.440647E-05   -0.371598E-05   -0.304956E-05   -0.254858E-05   -0.235191E-05   -0.244863E-05   -0.259473E-05   -0.239998E-05   -0.349571E-05    0.142628E-04    0.268999E-04    0.290332E-04    0.409458E-04    0.537510E-04    0.613508E-04    0.776125E-04    0.909371E-04    0.191542E-03    0.284559E-03    0.205429E-03    0.599506E-04   -0.107416E-03   -0.134118E-03
    60    0.547135E-09    0.170900E-07    0.317459E-07    0.442762E-07    0.462859E-07    0.421361E-07    0.290533E-07    0.431056E-08   -0.295702E-07   -0.766182E-07   -0.267154E-06   -0.112279E-05   -0.193928E-05   -0.259171E-05   -0.291061E-05   -0.295635E-05   -0.281532E-05   -0.250810E-05   -0.213031E-05   -0.161819E-05   -0.104952E-05   -0.541290E-06   -0.139521E-06    0.224614E-06    0.744841E-06    0.335637E-05    0.193482E-04    0.320435E-04    0.365706E-04    0.445462E-04    0.559317E-04    0.677077E-04    0.788470E-04    0.902193E-04    0.199333E-03    0.290574E-03    0.203537E-03    0.556682E-04   -0.110534E-03   -0.133868E-03
    80    0.118264E-08    0.230153E-07    0.430230E-07    0.692415E-07    0.936806E-07    0.121336E-06    0.148896E-06    0.177088E-06    0.208319E-06    0.237588E-06    0.531852E-06    0.961802E-06    0.103054E-05    0.994884E-06    0.847122E-06    0.514043E-06    0.168551E-06   -0.684843E-07   -0.159697E-06    0.918319E-07    0.686404E-06    0.157797E-05    0.260225E-05    0.360038E-05    0.454842E-05    0.117092E-04    0.254299E-04    0.381099E-04    0.465877E-04    0.496804E-04    0.594151E-04    0.765368E-04    0.816473E-04    0.905649E-04    0.211145E-03    0.302106E-03    0.205180E-03    0.524150E-04   -0.115709E-03   -0.134816E-03
   100    0.611327E-09    0.185212E-07    0.380743E-07    0.665449E-07    0.108563E-06    0.159884E-06    0.227537E-06    0.307046E-06    0.401969E-06    0.511791E-06    0.126287E-05    0.301594E-05    0.407852E-05    0.476847E-05    0.488793E-05    0.438496E-05    0.351796E-05    0.259489E-05    0.191437E-05    0.178799E-05    0.237757E-05    0.367002E-05    0.537944E-05    0.710502E-05    0.855965E-05    0.206111E-04    0.314069E-04    0.438910E-04    0.579630E-04    0.555976E-04    0.634970E-04    0.868003E-04    0.852076E-04    0.911941E-04    0.225830E-03    0.318099E-03    0.208838E-03    0.503201E-04   -0.124373E-03   -0.137105E-03
   120   -0.218496E-09   -0.130397E-08    0.409448E-08    0.253013E-07    0.664651E-07    0.131604E-06    0.223852E-06    0.346136E-06    0.499969E-06    0.681576E-06    0.177186E-05    0.470716E-05    0.678485E-05    0.826396E-05    0.874560E-05    0.813634E-05    0.679264E-05    0.514750E-05    0.374982E-05    0.315131E-05    0.367755E-05    0.533646E-05    0.773577E-05    0.102281E-04    0.122584E-04    0.289335E-04    0.362955E-04    0.481555E-04    0.692210E-04    0.614015E-04    0.673773E-04    0.976130E-04    0.893226E-04    0.916212E-04    0.241432E-03    0.336528E-03    0.213105E-03    0.481696E-04   -0.134753E-03   -0.141072E-03
   140   -0.188352E-08   -0.400737E-07   -0.677416E-07   -0.749245E-07   -0.505353E-07    0.737121E-08    0.110180E-06    0.253366E-06    0.444592E-06    0.677862E-06    0.189549E-05    0.568068E-05    0.868883E-05    0.109495E-04    0.118866E-04    0.113119E-04    0.951814E-05    0.714049E-05    0.499634E-05    0.389333E-05    0.426114E-05    0.619072E-05    0.919682E-05    0.124527E-04    0.151026E-04    0.355520E-04    0.390876E-04    0.496450E-04    0.792456E-04    0.664557E-04    0.703264E-04    0.108075E-03    0.934883E-04    0.915609E-04    0.257169E-03    0.356478E-03    0.219245E-03    0.462588E-04   -0.147052E-03   -0.146272E-03
   160   -0.483617E-08   -0.996099E-07   -0.182488E-06   -0.238075E-06   -0.252613E-06   -0.222798E-06   -0.140863E-06    0.172935E-08    0.200431E-06    0.458525E-06    0.153090E-05    0.567092E-05    0.940891E-05    0.123955E-04    0.138324E-04    0.133884E-04    0.112645E-04    0.828563E-05    0.544393E-05    0.376888E-05    0.388500E-05    0.592717E-05    0.941070E-05    0.133591E-04    0.166264E-04    0.394762E-04    0.390853E-04    0.477467E-04    0.864618E-04    0.703850E-04    0.721047E-04    0.117320E-03    0.977325E-04    0.910186E-04    0.271158E-03    0.377814E-03    0.224297E-03    0.456341E-04   -0.159466E-03   -0.154097E-03
   180   -0.780656E-08   -0.178134E-06   -0.331202E-06   -0.456416E-06   -0.535796E-06   -0.558975E-06   -0.520128E-06   -0.411946E-06   -0.234512E-06    0.105380E-07    0.637212E-06    0.457642E-05    0.877924E-05    0.123401E-04    0.142912E-04    0.140866E-04    0.118256E-04    0.843390E-05    0.501634E-05    0.277859E-05    0.251927E-05    0.449748E-05    0.825589E-05    0.127380E-04    0.165616E-04    0.400834E-04    0.361236E-04    0.423008E-04    0.901195E-04    0.729102E-04    0.724003E-04    0.124464E-03    0.101941E-03    0.904100E-04    0.283213E-03    0.397596E-03    0.231163E-03    0.463435E-04   -0.171442E-03   -0.163323E-03
   200   -0.122486E-07   -0.270474E-06   -0.508631E-06   -0.720278E-06   -0.880901E-06   -0.980603E-06   -0.101375E-05   -0.968036E-06   -0.847993E-06   -0.645513E-06   -0.743347E-06    0.242945E-05    0.679163E-05    0.107493E-04    0.131542E-04    0.132806E-04    0.111239E-04    0.755737E-05    0.374669E-05    0.983065E-06    0.258024E-06    0.197880E-05    0.579354E-05    0.105883E-04    0.148335E-04    0.371761E-04    0.303571E-04    0.339075E-04    0.896969E-04    0.741221E-04    0.719184E-04    0.128931E-03    0.106240E-03    0.904106E-04    0.292399E-03    0.415628E-03    0.238123E-03    0.490773E-04   -0.179417E-03   -0.174399E-03
