     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             852
    20   -0.316914E-08    0.186561E-06    0.700657E-07    0.799000E-06    0.124812E-05    0.177241E-05    0.227970E-05    0.296559E-05    0.280231E-05    0.220049E-05   -0.428919E-06   -0.669105E-04   -0.197883E-03   -0.370633E-03   -0.522350E-03   -0.590562E-03   -0.542889E-03   -0.370546E-03   -0.941732E-04    0.247420E-03    0.596746E-03    0.792227E-03    0.714618E-03    0.409440E-03    0.479801E-04   -0.127688E-02    0.271824E-04
    40    0.222477E-07    0.236030E-06    0.574095E-06    0.966327E-06    0.207247E-05    0.344884E-05    0.522415E-05    0.712555E-05    0.883190E-05    0.997017E-05    0.201267E-04   -0.810184E-05   -0.119592E-03   -0.287281E-03   -0.466584E-03   -0.586605E-03   -0.590059E-03   -0.449248E-03   -0.192005E-03    0.129468E-03    0.453592E-03    0.640356E-03    0.585398E-03    0.326215E-03    0.851564E-05   -0.133685E-02    0.401941E-03
    60   -0.364537E-07    0.183192E-06    0.854606E-06    0.216269E-05    0.373301E-05    0.595766E-05    0.957991E-05    0.144098E-04    0.183425E-04    0.237414E-04    0.528204E-04    0.786917E-04   -0.633540E-05   -0.181114E-03   -0.396675E-03   -0.581618E-03   -0.652755E-03   -0.546438E-03   -0.303724E-03   -0.594067E-05    0.296050E-03    0.479991E-03    0.447344E-03    0.236209E-03   -0.381548E-04   -0.142194E-02    0.958690E-03
    80   -0.973528E-08    0.287956E-06    0.983511E-06    0.243713E-05    0.511161E-05    0.102047E-04    0.162985E-04    0.234036E-04    0.305883E-04    0.419621E-04    0.998788E-04    0.194457E-03    0.143151E-03   -0.331044E-04   -0.291190E-03   -0.545701E-03   -0.674319E-03   -0.592577E-03   -0.388971E-03   -0.140464E-03    0.123632E-03    0.299660E-03    0.295061E-03    0.135091E-03   -0.786510E-04   -0.136939E-02    0.183733E-02
   100   -0.486038E-07   -0.258090E-06    0.374720E-06    0.172437E-05    0.595924E-05    0.127101E-04    0.220434E-04    0.318341E-04    0.456377E-04    0.627722E-04    0.151804E-03    0.323639E-03    0.316564E-03    0.154084E-03   -0.128390E-03   -0.432463E-03   -0.605360E-03   -0.574075E-03   -0.433330E-03   -0.264896E-03   -0.637351E-04    0.967973E-04    0.123987E-03    0.358007E-04   -0.985527E-04   -0.114852E-02    0.342851E-02
   120   -0.106342E-06   -0.184903E-05   -0.236039E-05   -0.995838E-06    0.375101E-05    0.116986E-04    0.233536E-04    0.386269E-04    0.570786E-04    0.804274E-04    0.204698E-03    0.462682E-03    0.513599E-03    0.386317E-03    0.107050E-03   -0.228027E-03   -0.416841E-03   -0.444570E-03   -0.421871E-03   -0.377859E-03   -0.271340E-03   -0.141558E-03   -0.684840E-04   -0.592136E-04   -0.812919E-04   -0.583980E-03    0.536476E-02
   140   -0.181399E-06   -0.487031E-05   -0.734123E-05   -0.828948E-05   -0.432978E-05    0.432642E-05    0.178909E-04    0.370463E-04    0.596305E-04    0.878358E-04    0.234927E-03    0.582694E-03    0.705348E-03    0.641716E-03    0.406102E-03    0.105121E-03   -0.120538E-03   -0.257582E-03   -0.384384E-03   -0.483437E-03   -0.502589E-03   -0.421892E-03   -0.288401E-03   -0.143149E-03   -0.944571E-05    0.208542E-03    0.754909E-02
   160   -0.435580E-06   -0.973155E-05   -0.164898E-04   -0.211424E-04   -0.201382E-04   -0.121236E-04    0.841556E-07    0.196998E-04    0.464699E-04    0.775307E-04    0.229746E-03    0.664166E-03    0.878305E-03    0.912547E-03    0.777646E-03    0.541099E-03    0.284312E-03    0.258771E-04   -0.288905E-03   -0.577981E-03   -0.759848E-03   -0.745991E-03   -0.525103E-03   -0.186480E-03    0.144424E-03    0.162706E-02    0.966788E-02
   180   -0.711187E-06   -0.168080E-04   -0.292483E-04   -0.407954E-04   -0.462136E-04   -0.434254E-04   -0.342822E-04   -0.167485E-04    0.929886E-05    0.406053E-04    0.163758E-03    0.663020E-03    0.100425E-02    0.118206E-02    0.118756E-02    0.103962E-02    0.752896E-03    0.349169E-03   -0.164851E-03   -0.661086E-03   -0.103350E-02   -0.108292E-02   -0.741789E-03   -0.165472E-03    0.393200E-03    0.325179E-02    0.117978E-01
