     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             852
    20   -0.229900E-07   -0.370400E-06   -0.260745E-05    0.226017E-05    0.664328E-05    0.123182E-04    0.196121E-04    0.276500E-04    0.346456E-04    0.404595E-04    0.848999E-04    0.454066E-04   -0.228590E-03   -0.681442E-03   -0.124827E-02   -0.172649E-02   -0.191864E-02   -0.171827E-02   -0.113089E-02   -0.351373E-03    0.342233E-03    0.734061E-03    0.663221E-03    0.107772E-03   -0.797663E-03   -0.951674E-02   -0.586448E-02
    40   -0.907115E-07   -0.185485E-05   -0.687673E-05   -0.735800E-06    0.341339E-05    0.978354E-05    0.183507E-04    0.285497E-04    0.379941E-04    0.471048E-04    0.104860E-03    0.108265E-03   -0.122396E-03   -0.541308E-03   -0.107461E-02   -0.153992E-02   -0.175782E-02   -0.159252E-02   -0.104101E-02   -0.283098E-03    0.398366E-03    0.788380E-03    0.729740E-03    0.185468E-03   -0.719096E-03   -0.909564E-02   -0.675690E-02
    60   -0.263868E-06   -0.458992E-05   -0.108316E-04   -0.565751E-05   -0.327052E-05    0.531460E-05    0.170686E-04    0.310177E-04    0.453041E-04    0.591676E-04    0.145862E-03    0.218143E-03    0.416809E-04   -0.324169E-03   -0.852487E-03   -0.135821E-02   -0.164983E-02   -0.154652E-02   -0.102069E-02   -0.252023E-03    0.449788E-03    0.870252E-03    0.843878E-03    0.305926E-03   -0.640270E-03   -0.872021E-02   -0.780859E-02
    80   -0.458212E-06   -0.836538E-05   -0.163005E-04   -0.148525E-04   -0.119057E-04   -0.631103E-06    0.140776E-04    0.328790E-04    0.546826E-04    0.772105E-04    0.196822E-03    0.378382E-03    0.280683E-03   -0.279358E-04   -0.573980E-03   -0.114562E-02   -0.154765E-02   -0.153659E-02   -0.102826E-02   -0.243731E-03    0.495861E-03    0.980798E-03    0.999236E-03    0.451141E-03   -0.553900E-03   -0.845598E-02   -0.860182E-02
   100   -0.674866E-06   -0.138027E-04   -0.247351E-04   -0.279834E-04   -0.238323E-04   -0.132684E-04    0.651780E-05    0.330065E-04    0.620327E-04    0.950282E-04    0.262168E-03    0.619020E-03    0.612032E-03    0.354887E-03   -0.207612E-03   -0.878803E-03   -0.140364E-02   -0.149791E-02   -0.105207E-02   -0.244201E-03    0.560551E-03    0.112266E-02    0.119177E-02    0.631281E-03   -0.451984E-03   -0.825557E-02   -0.983020E-02
   120   -0.103711E-05   -0.215871E-04   -0.356252E-04   -0.460965E-04   -0.450302E-04   -0.321749E-04   -0.873990E-05    0.253637E-04    0.653508E-04    0.111971E-03    0.322212E-03    0.879253E-03    0.104555E-02    0.859363E-03    0.272690E-03   -0.517908E-03   -0.117937E-02   -0.139060E-02   -0.102192E-02   -0.250158E-03    0.646263E-03    0.131815E-02    0.143362E-02    0.860111E-03   -0.302926E-03   -0.781629E-02   -0.118134E-01
   140   -0.150752E-05   -0.312650E-04   -0.520536E-04   -0.700658E-04   -0.733309E-04   -0.611239E-04   -0.327262E-04    0.648250E-05    0.601826E-04    0.124915E-03    0.382476E-03    0.117150E-02    0.154256E-02    0.146920E-02    0.893494E-03    0.217219E-04   -0.809053E-03   -0.120544E-02   -0.975011E-03   -0.230247E-03    0.760164E-03    0.155507E-02    0.176582E-02    0.118849E-02   -0.756093E-04   -0.732093E-02   -0.140416E-01
   160   -0.206439E-05   -0.428589E-04   -0.737214E-04   -0.100172E-03   -0.110004E-03   -0.997506E-04   -0.702281E-04   -0.238551E-04    0.372550E-04    0.119494E-03    0.415604E-03    0.145959E-02    0.207767E-02    0.218676E-02    0.165960E-02    0.692816E-03   -0.312153E-03   -0.919132E-03   -0.889885E-03   -0.214422E-03    0.866419E-03    0.183941E-02    0.218498E-02    0.163149E-02    0.266904E-03   -0.661344E-02   -0.185100E-01
   180   -0.268505E-05   -0.562578E-04   -0.101405E-03   -0.134846E-03   -0.153595E-03   -0.147707E-03   -0.119677E-03   -0.699498E-04    0.359150E-05    0.100647E-03    0.426145E-03    0.178382E-02    0.266747E-02    0.299406E-02    0.254286E-02    0.150916E-02    0.297302E-03   -0.594244E-03   -0.764949E-03   -0.140438E-03    0.101608E-02    0.217757E-02    0.269813E-02    0.219742E-02    0.735054E-03   -0.590113E-02   -0.214439E-01
   200   -0.334394E-05   -0.719354E-04   -0.136897E-03   -0.177008E-03   -0.206930E-03   -0.205628E-03   -0.180666E-03   -0.124935E-03   -0.458959E-04    0.681368E-04    0.421940E-03    0.213261E-02    0.333032E-02    0.391240E-02    0.357720E-02    0.245929E-02    0.100123E-02   -0.153323E-03   -0.582910E-03   -0.264538E-04    0.123880E-02    0.262431E-02    0.335841E-02    0.292279E-02    0.135006E-02   -0.464793E-02   -0.258184E-01
   220   -0.425938E-05   -0.909836E-04   -0.181019E-03   -0.227071E-03   -0.270734E-03   -0.279593E-03   -0.258039E-03   -0.205499E-03   -0.108513E-03    0.254094E-04    0.406894E-03    0.252739E-02    0.410887E-02    0.501015E-02    0.478069E-02    0.357246E-02    0.185292E-02    0.384623E-03   -0.263492E-03    0.194077E-03    0.161564E-02    0.324737E-02    0.421030E-02    0.385565E-02    0.215300E-02   -0.273236E-02   -0.285085E-01
   240   -0.550959E-05   -0.115253E-03   -0.235096E-03   -0.294067E-03   -0.358995E-03   -0.386486E-03   -0.358125E-03   -0.308794E-03   -0.190166E-03   -0.428809E-04    0.386695E-03    0.301647E-02    0.512951E-02    0.636780E-02    0.623395E-02    0.495698E-02    0.293135E-02    0.111426E-02    0.204976E-03    0.612939E-03    0.219141E-02    0.411443E-02    0.530716E-02    0.511293E-02    0.325374E-02    0.549081E-03   -0.301970E-01
