     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             852
    20    0.114671E-04    0.262526E-03    0.512920E-03    0.753750E-03    0.983601E-03    0.119853E-02    0.139634E-02    0.157590E-02    0.173540E-02    0.187507E-02    0.399525E-02    0.676333E-02    0.717287E-02    0.738575E-02    0.750316E-02    0.756523E-02    0.755735E-02    0.747745E-02    0.731541E-02    0.700212E-02    0.644209E-02    0.560380E-02    0.460058E-02    0.364978E-02    0.288088E-02    0.130819E-01    0.103801E-01
    40    0.107262E-04    0.245756E-03    0.478906E-03    0.706647E-03    0.923625E-03    0.112763E-02    0.131568E-02    0.148762E-02    0.164130E-02    0.177634E-02    0.378935E-02    0.644927E-02    0.687283E-02    0.710425E-02    0.721565E-02    0.723362E-02    0.713777E-02    0.696628E-02    0.674494E-02    0.642840E-02    0.591398E-02    0.517649E-02    0.430298E-02    0.346540E-02    0.275613E-02    0.124951E-01    0.983612E-02
    60    0.101924E-04    0.233639E-03    0.454641E-03    0.673910E-03    0.883342E-03    0.108090E-02    0.126547E-02    0.143508E-02    0.158889E-02    0.172483E-02    0.368803E-02    0.633771E-02    0.680424E-02    0.707609E-02    0.720711E-02    0.718694E-02    0.702567E-02    0.676246E-02    0.644633E-02    0.607931E-02    0.557737E-02    0.490740E-02    0.416017E-02    0.341774E-02    0.276715E-02    0.125026E-01    0.948481E-02
    80    0.967733E-05    0.221974E-03    0.431215E-03    0.642455E-03    0.844219E-03    0.103639E-02    0.121833E-02    0.138672E-02    0.154209E-02    0.168089E-02    0.360965E-02    0.628184E-02    0.682192E-02    0.715116E-02    0.730919E-02    0.726707E-02    0.704484E-02    0.668407E-02    0.626176E-02    0.580928E-02    0.528346E-02    0.469098E-02    0.405531E-02    0.342262E-02    0.283982E-02    0.130562E-01    0.919873E-02
   100    0.916097E-05    0.210373E-03    0.408485E-03    0.610347E-03    0.804223E-03    0.989220E-03    0.116765E-02    0.133474E-02    0.149075E-02    0.163385E-02    0.352688E-02    0.623663E-02    0.687205E-02    0.728773E-02    0.746678E-02    0.740285E-02    0.712012E-02    0.666008E-02    0.610398E-02    0.555177E-02    0.500241E-02    0.447021E-02    0.395134E-02    0.343642E-02    0.294263E-02    0.140234E-01    0.923533E-02
   120    0.862115E-05    0.198056E-03    0.385533E-03    0.576161E-03    0.760296E-03    0.938257E-03    0.111083E-02    0.127416E-02    0.143039E-02    0.157637E-02    0.342317E-02    0.616666E-02    0.691093E-02    0.740747E-02    0.762614E-02    0.755888E-02    0.722724E-02    0.666786E-02    0.598443E-02    0.531848E-02    0.474041E-02    0.424753E-02    0.383602E-02    0.344546E-02    0.306422E-02    0.151987E-01    0.923685E-02
   140    0.805603E-05    0.184931E-03    0.360582E-03    0.538995E-03    0.712815E-03    0.882379E-03    0.104868E-02    0.120781E-02    0.136240E-02    0.150953E-02    0.329764E-02    0.605187E-02    0.690214E-02    0.747363E-02    0.775658E-02    0.772122E-02    0.738187E-02    0.675276E-02    0.595614E-02    0.518741E-02    0.454787E-02    0.408488E-02    0.374901E-02    0.347465E-02    0.321175E-02    0.168022E-01    0.962665E-02
   160    0.745327E-05    0.171348E-03    0.335564E-03    0.500737E-03    0.664006E-03    0.823981E-03    0.981953E-03    0.113538E-02    0.128634E-02    0.143240E-02    0.314598E-02    0.586986E-02    0.679270E-02    0.744511E-02    0.778730E-02    0.779437E-02    0.746067E-02    0.678690E-02    0.592006E-02    0.507839E-02    0.440468E-02    0.395753E-02    0.367921E-02    0.350195E-02    0.334441E-02    0.181638E-01    0.997377E-02
   180    0.690074E-05    0.158749E-03    0.312330E-03    0.465225E-03    0.618118E-03    0.769139E-03    0.919192E-03    0.106639E-02    0.121191E-02    0.135484E-02    0.298788E-02    0.564249E-02    0.661929E-02    0.734294E-02    0.773902E-02    0.779151E-02    0.748164E-02    0.679636E-02    0.591028E-02    0.503413E-02    0.435578E-02    0.392749E-02    0.368280E-02    0.355883E-02    0.346667E-02    0.194285E-01    0.106632E-01
   200    0.646469E-05    0.148608E-03    0.293500E-03    0.436060E-03    0.580296E-03    0.723282E-03    0.866016E-03    0.100697E-02    0.114756E-02    0.128649E-02    0.284229E-02    0.541503E-02    0.642070E-02    0.719337E-02    0.765493E-02    0.776758E-02    0.750013E-02    0.685328E-02    0.597535E-02    0.512238E-02    0.446474E-02    0.402871E-02    0.379935E-02    0.368056E-02    0.359609E-02    0.204293E-01    0.115015E-01
   220    0.615664E-05    0.141691E-03    0.280878E-03    0.415547E-03    0.553690E-03    0.689821E-03    0.826943E-03    0.961819E-03    0.109727E-02    0.123115E-02    0.272395E-02    0.521485E-02    0.623404E-02    0.704334E-02    0.755875E-02    0.772615E-02    0.750803E-02    0.688175E-02    0.604263E-02    0.525685E-02    0.465060E-02    0.423156E-02    0.398718E-02    0.383261E-02    0.372267E-02    0.210948E-01    0.122391E-01
   240    0.603222E-05    0.138482E-03    0.274944E-03    0.405232E-03    0.539268E-03    0.671674E-03    0.804235E-03    0.935964E-03    0.106761E-02    0.119743E-02    0.264839E-02    0.508242E-02    0.610756E-02    0.695027E-02    0.751234E-02    0.775287E-02    0.760491E-02    0.700983E-02    0.621641E-02    0.551136E-02    0.496645E-02    0.455615E-02    0.427707E-02    0.405069E-02    0.387943E-02    0.215564E-01    0.131943E-01
