     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             852
    20   -0.207689E-07    0.499412E-06    0.132613E-05    0.377411E-05    0.583150E-05    0.971126E-05    0.165367E-04    0.236918E-04    0.339547E-04    0.474518E-04    0.127391E-03    0.334046E-03    0.520969E-03    0.673601E-03    0.846496E-03    0.995969E-03    0.116262E-02    0.130365E-02    0.139205E-02    0.139423E-02    0.134796E-02    0.120887E-02    0.100714E-02    0.689221E-03    0.251572E-03   -0.635441E-03   -0.323469E-01
    40    0.391665E-08    0.125762E-05    0.305540E-05    0.437806E-05    0.785534E-05    0.106820E-04    0.152109E-04    0.217850E-04    0.321164E-04    0.430802E-04    0.117392E-03    0.305504E-03    0.450951E-03    0.599431E-03    0.766294E-03    0.939139E-03    0.112771E-02    0.128873E-02    0.137707E-02    0.138315E-02    0.133208E-02    0.122137E-02    0.100608E-02    0.661069E-03    0.229375E-03   -0.786895E-03   -0.304113E-01
    60    0.281672E-06    0.315058E-05    0.592333E-05    0.856533E-05    0.116582E-04    0.142868E-04    0.185029E-04    0.249074E-04    0.336233E-04    0.424482E-04    0.113650E-03    0.261717E-03    0.383734E-03    0.529882E-03    0.724390E-03    0.933613E-03    0.114114E-02    0.133323E-02    0.146768E-02    0.144024E-02    0.138806E-02    0.125683E-02    0.103415E-02    0.730198E-03    0.311970E-03   -0.323262E-03   -0.285923E-01
    80    0.420159E-06    0.526787E-05    0.102730E-04    0.151589E-04    0.191445E-04    0.230826E-04    0.262591E-04    0.297012E-04    0.350288E-04    0.430492E-04    0.105258E-03    0.204347E-03    0.319470E-03    0.469263E-03    0.721627E-03    0.994932E-03    0.124938E-02    0.141369E-02    0.152341E-02    0.152035E-02    0.144914E-02    0.132480E-02    0.111958E-02    0.829901E-03    0.437322E-03    0.686050E-03   -0.258160E-01
   100    0.363545E-06    0.814880E-05    0.163844E-04    0.228619E-04    0.286871E-04    0.315578E-04    0.357929E-04    0.350362E-04    0.381427E-04    0.432804E-04    0.104904E-03    0.180239E-03    0.293802E-03    0.482990E-03    0.750228E-03    0.109539E-02    0.139156E-02    0.161964E-02    0.162365E-02    0.156752E-02    0.147632E-02    0.139054E-02    0.121255E-02    0.974596E-03    0.616276E-03    0.185402E-02   -0.221738E-01
   120    0.663326E-06    0.113863E-04    0.232266E-04    0.313997E-04    0.387650E-04    0.423585E-04    0.448339E-04    0.429344E-04    0.445961E-04    0.484262E-04    0.106695E-03    0.157787E-03    0.306468E-03    0.567687E-03    0.941876E-03    0.132936E-02    0.162688E-02    0.180929E-02    0.180101E-02    0.166885E-02    0.152590E-02    0.143240E-02    0.129893E-02    0.115928E-02    0.866513E-03    0.327159E-02   -0.183017E-01
   140    0.721776E-06    0.153811E-04    0.300497E-04    0.413319E-04    0.502223E-04    0.542395E-04    0.565772E-04    0.553641E-04    0.538797E-04    0.559307E-04    0.125344E-03    0.202779E-03    0.414018E-03    0.751097E-03    0.120212E-02    0.155467E-02    0.187754E-02    0.203435E-02    0.197175E-02    0.181704E-02    0.163555E-02    0.155388E-02    0.145978E-02    0.135772E-02    0.114631E-02    0.537410E-02   -0.156804E-01
   160    0.890962E-06    0.195701E-04    0.379251E-04    0.512663E-04    0.627131E-04    0.681988E-04    0.714317E-04    0.707695E-04    0.699694E-04    0.715540E-04    0.156523E-03    0.320895E-03    0.595092E-03    0.102655E-02    0.159599E-02    0.197136E-02    0.220783E-02    0.229134E-02    0.214628E-02    0.196350E-02    0.180212E-02    0.173866E-02    0.167471E-02    0.165703E-02    0.146171E-02    0.702180E-02   -0.119514E-01
   180    0.101681E-05    0.236899E-04    0.464226E-04    0.631041E-04    0.769053E-04    0.847653E-04    0.916914E-04    0.920431E-04    0.928016E-04    0.962560E-04    0.204242E-03    0.501103E-03    0.893364E-03    0.135841E-02    0.196003E-02    0.238894E-02    0.265010E-02    0.267677E-02    0.248577E-02    0.223251E-02    0.206128E-02    0.201816E-02    0.198501E-02    0.197261E-02    0.181906E-02    0.908735E-02   -0.112996E-01
   200    0.119937E-05    0.281092E-04    0.557877E-04    0.757869E-04    0.940861E-04    0.105473E-03    0.114858E-03    0.119474E-03    0.125708E-03    0.131921E-03    0.283502E-03    0.724647E-03    0.123892E-02    0.178070E-02    0.249166E-02    0.280922E-02    0.295216E-02    0.303164E-02    0.279089E-02    0.260406E-02    0.247914E-02    0.246238E-02    0.244930E-02    0.241964E-02    0.227533E-02    0.118192E-01   -0.851043E-02
   220    0.139616E-05    0.319539E-04    0.647475E-04    0.872190E-04    0.111920E-03    0.128632E-03    0.143575E-03    0.154990E-03    0.164524E-03    0.177486E-03    0.383149E-03    0.101774E-02    0.159001E-02    0.217008E-02    0.296138E-02    0.329356E-02    0.350243E-02    0.354267E-02    0.332652E-02    0.311134E-02    0.304380E-02    0.303552E-02    0.301863E-02    0.302301E-02    0.286078E-02    0.151965E-01   -0.914394E-02
   240    0.162862E-05    0.360734E-04    0.730625E-04    0.992821E-04    0.129485E-03    0.153456E-03    0.174832E-03    0.191890E-03    0.208540E-03    0.225707E-03    0.496820E-03    0.126598E-02    0.192319E-02    0.245348E-02    0.332197E-02    0.362823E-02    0.372272E-02    0.403214E-02    0.384076E-02    0.386202E-02    0.382313E-02    0.383517E-02    0.381887E-02    0.376284E-02    0.355649E-02    0.191366E-01   -0.685816E-02
   260    0.170095E-05    0.396455E-04    0.811680E-04    0.113793E-03    0.148844E-03    0.179728E-03    0.207519E-03    0.234009E-03    0.256651E-03    0.278850E-03    0.620049E-03    0.158784E-02    0.216796E-02    0.274004E-02    0.355770E-02    0.401989E-02    0.413270E-02    0.457960E-02    0.460174E-02    0.458196E-02    0.472930E-02    0.481283E-02    0.481328E-02    0.484580E-02    0.462505E-02    0.249166E-01   -0.741704E-02
   280    0.183413E-05    0.435996E-04    0.907558E-04    0.126904E-03    0.168399E-03    0.207188E-03    0.244404E-03    0.276064E-03    0.305092E-03    0.330386E-03    0.716604E-03    0.174792E-02    0.237412E-02    0.284044E-02    0.378339E-02    0.411614E-02    0.443481E-02    0.506306E-02    0.531735E-02    0.557995E-02    0.583394E-02    0.599932E-02    0.603882E-02    0.604122E-02    0.582788E-02    0.329533E-01   -0.493585E-02
