  220    0.148277E-16    0.613070E-17    0.359849E-18    0.943433E-17    0.144274E-17    0.259270E-15    0.613070E-17    0.398724E-16    0.208326E-17    0.264619E-16    0.610085E-17    0.173963E-14    0.359849E-18    0.208326E-17    0.133455E-16    0.131460E-17    0.133130E-16    0.482538E-17    0.943433E-17    0.264619E-16    0.131460E-17    0.299948E-16    0.317215E-17    0.126275E-15    0.144274E-17    0.610085E-17    0.133130E-16    0.317215E-17    0.137975E-16    0.331610E-17    0.259270E-15    0.173963E-14    0.482538E-17    0.126275E-15    0.331610E-17    0.517647E-16
  240    0.152199E-16    0.564136E-17    0.609795E-19    0.649838E-17    0.100702E-17    0.155260E-15    0.564136E-17    0.368723E-16    0.158255E-17    0.247198E-16    0.566644E-17    0.163290E-14    0.609795E-19    0.158255E-17    0.932092E-17    0.106951E-17    0.943072E-17    0.412026E-17    0.649838E-17    0.247198E-16    0.106951E-17    0.283774E-16    0.317430E-17    0.849986E-16    0.100702E-17    0.566644E-17    0.943072E-17    0.317430E-17    0.989791E-17    0.263430E-17    0.155260E-15    0.163290E-14    0.412026E-17    0.849986E-16    0.263430E-17    0.386492E-16
  260    0.157536E-16    0.491617E-17   -0.141248E-18    0.453849E-17    0.623036E-18    0.800486E-16    0.491617E-17    0.346763E-16    0.113420E-17    0.234942E-16    0.520435E-17    0.157512E-14   -0.141248E-18    0.113420E-17    0.671845E-17    0.894570E-18    0.691643E-17    0.357663E-17    0.453849E-17    0.234942E-16    0.894570E-18    0.277092E-16    0.317960E-17    0.659872E-16    0.623036E-18    0.520435E-17    0.691643E-17    0.317960E-17    0.740982E-17    0.217753E-17    0.800486E-16    0.157512E-14    0.357663E-17    0.659872E-16    0.217753E-17    0.295849E-16
  280    0.154189E-16    0.377500E-17   -0.248048E-18    0.335951E-17    0.266914E-18    0.340547E-16    0.377500E-17    0.324206E-16    0.771021E-18    0.216848E-16    0.467643E-17    0.154650E-14   -0.248048E-18    0.771021E-18    0.497847E-17    0.761590E-18    0.522645E-17    0.313673E-17    0.335951E-17    0.216848E-16    0.761590E-18    0.269971E-16    0.311747E-17    0.559322E-16    0.266914E-18    0.467643E-17    0.522645E-17    0.311747E-17    0.571038E-17    0.176340E-17    0.340547E-16    0.154650E-14    0.313673E-17    0.559322E-16    0.176340E-17    0.230902E-16
  300    0.139104E-16    0.210710E-17   -0.266871E-18    0.295983E-17   -0.748548E-20    0.109013E-16    0.210710E-17    0.291919E-16    0.490384E-18    0.185263E-16    0.368602E-17    0.150590E-14   -0.266871E-18    0.490384E-18    0.376902E-17    0.653691E-18    0.403344E-17    0.277432E-17    0.295983E-17    0.185263E-16    0.653691E-18    0.247112E-16    0.277699E-17    0.565843E-16   -0.748548E-20    0.368602E-17    0.403344E-17    0.277699E-17    0.446968E-17    0.157418E-17    0.109013E-16    0.150590E-14    0.277432E-17    0.565843E-16    0.157418E-17    0.183825E-16
  320    0.112564E-16    0.817458E-18   -0.224151E-18    0.318896E-17   -0.205883E-18    0.480078E-17    0.817458E-18    0.243831E-16    0.390857E-18    0.145526E-16    0.226796E-17    0.131081E-14   -0.224151E-18    0.390857E-18    0.291893E-17    0.552355E-18    0.316132E-17    0.246466E-17    0.318896E-17    0.145526E-16    0.552355E-18    0.201864E-16    0.195552E-17    0.610301E-16   -0.205883E-18    0.226796E-17    0.316132E-17    0.195552E-17    0.353574E-17    0.148869E-17    0.480078E-17    0.131081E-14    0.246466E-17    0.610301E-16    0.148869E-17    0.148064E-16
  340    0.864358E-17    0.561302E-18   -0.148445E-18    0.376408E-17   -0.284510E-18    0.723593E-17    0.561302E-18    0.200399E-16    0.400966E-18    0.121148E-16    0.896934E-18    0.103029E-14   -0.148445E-18    0.400966E-18    0.232130E-17    0.472226E-18    0.252244E-17    0.223322E-17    0.376408E-17    0.121148E-16    0.472226E-18    0.157891E-16    0.903311E-18    0.537623E-16   -0.284510E-18    0.896934E-18    0.252244E-17    0.903311E-18    0.282687E-17    0.150209E-17    0.723593E-17    0.103029E-14    0.223322E-17    0.537623E-16    0.150209E-17    0.121776E-16
  360    0.613162E-17    0.903927E-18   -0.693496E-19    0.397918E-17   -0.331983E-18    0.137710E-16    0.903927E-18    0.166365E-16    0.466481E-18    0.112466E-16   -0.294701E-19    0.709031E-15   -0.693496E-19    0.466481E-18    0.185618E-17    0.421869E-18    0.200355E-17    0.202539E-17    0.397918E-17    0.112466E-16    0.421869E-18    0.133828E-16    0.169488E-18    0.504489E-16   -0.331983E-18   -0.294701E-19    0.200355E-17    0.169488E-18    0.223426E-17    0.151940E-17    0.137710E-16    0.709031E-15    0.202539E-17    0.504489E-16    0.151940E-17    0.101390E-16
  380    0.410713E-17    0.134653E-17   -0.159319E-20    0.368793E-17   -0.307410E-18    0.197435E-16    0.134653E-17    0.135454E-16    0.500569E-18    0.102849E-16   -0.373648E-18    0.441735E-15   -0.159319E-20    0.500569E-18    0.150561E-17    0.413566E-18    0.161218E-17    0.187057E-17    0.368793E-17    0.102849E-16    0.413566E-18    0.120609E-16   -0.137192E-18    0.432942E-16   -0.307410E-18   -0.373648E-18    0.161218E-17   -0.137192E-18    0.181223E-17    0.151725E-17    0.197435E-16    0.441735E-15    0.187057E-17    0.432942E-16    0.151725E-17    0.859471E-17
  400    0.269468E-17    0.150381E-17    0.482474E-19    0.314481E-17   -0.246294E-18    0.235861E-16    0.150381E-17    0.108524E-16    0.491604E-18    0.885751E-17   -0.417591E-18    0.269013E-15    0.482474E-19    0.491604E-18    0.123839E-17    0.413150E-18    0.131792E-17    0.173227E-17    0.314481E-17    0.885751E-17    0.413150E-18    0.106679E-16   -0.167255E-18    0.357427E-16   -0.246294E-18   -0.417591E-18    0.131792E-17   -0.167255E-18    0.148771E-17    0.149616E-17    0.235861E-16    0.269013E-15    0.173227E-17    0.357427E-16    0.149616E-17    0.737724E-17
  420    0.176736E-17    0.141905E-17    0.786337E-19    0.251753E-17   -0.164150E-18    0.248165E-16    0.141905E-17    0.877739E-17    0.456187E-18    0.748691E-17   -0.375329E-18    0.157810E-15    0.786337E-19    0.456187E-18    0.102679E-17    0.413513E-18    0.109801E-17    0.161048E-17    0.251753E-17    0.748691E-17    0.413513E-18    0.930023E-17   -0.467694E-19    0.284735E-16   -0.164150E-18   -0.375329E-18    0.109801E-17   -0.467694E-19    0.126080E-17    0.142756E-17    0.248165E-16    0.157810E-15    0.161048E-17    0.284735E-16    0.142756E-17    0.639071E-17
  440    0.119422E-17    0.119495E-17    0.897929E-19    0.189458E-17   -0.810940E-19    0.235992E-16    0.119495E-17    0.728868E-17    0.417365E-18    0.646656E-17   -0.281181E-18    0.840269E-16    0.897929E-19    0.417365E-18    0.869333E-18    0.402039E-18    0.935384E-18    0.149332E-17    0.189458E-17    0.646656E-17    0.402039E-18    0.821491E-17    0.114540E-18    0.210688E-16   -0.810940E-19   -0.281181E-18    0.935384E-18    0.114540E-18    0.107518E-17    0.135351E-17    0.235992E-16    0.840269E-16    0.149332E-17    0.210688E-16    0.135351E-17    0.556811E-17
  460    0.926982E-18    0.950814E-18    0.836230E-19    0.136357E-17   -0.170033E-19    0.206562E-16    0.950814E-18    0.632069E-17    0.385604E-18    0.578758E-17   -0.181773E-18    0.349700E-16    0.836230E-19    0.385604E-18    0.734647E-18    0.377151E-18    0.798889E-18    0.137831E-17    0.136357E-17    0.578758E-17    0.377151E-18    0.742941E-17    0.272361E-18    0.136146E-16   -0.170033E-19   -0.181773E-18    0.798889E-18    0.272361E-18    0.899370E-18    0.127353E-17    0.206562E-16    0.349700E-16    0.137831E-17    0.136146E-16    0.127353E-17    0.485996E-17
  480    0.813552E-18    0.703957E-18    0.643556E-19    0.912621E-18    0.366992E-19    0.165573E-16    0.703957E-18    0.564104E-17    0.374056E-18    0.530592E-17   -0.939353E-19   -0.161168E-17    0.643556E-19    0.374056E-18    0.630307E-18    0.345814E-18    0.688756E-18    0.125736E-17    0.912621E-18    0.530592E-17    0.345814E-18    0.680103E-17    0.424476E-18    0.628745E-17    0.366992E-19   -0.939353E-19    0.688756E-18    0.424476E-18    0.761984E-18    0.117796E-17    0.165573E-16   -0.161168E-17    0.125736E-17    0.628745E-17    0.117796E-17    0.421440E-17
