     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             852
    20    0.223054E-04    0.506046E-03    0.946353E-03    0.135226E-02    0.166479E-02    0.188914E-02    0.202848E-02    0.209456E-02    0.210409E-02    0.207886E-02    0.408120E-02    0.582930E-02    0.595452E-02    0.602982E-02    0.566538E-02    0.515082E-02    0.495840E-02    0.502946E-02    0.499160E-02    0.490808E-02    0.512917E-02    0.556765E-02    0.570501E-02    0.509914E-02    0.376160E-02    0.130846E-01    0.115242E-01
    40    0.183640E-04    0.418840E-03    0.777322E-03    0.114925E-02    0.144587E-02    0.168423E-02    0.186280E-02    0.198519E-02    0.205879E-02    0.209090E-02    0.419218E-02    0.607474E-02    0.585084E-02    0.569870E-02    0.543304E-02    0.509741E-02    0.485153E-02    0.475643E-02    0.471275E-02    0.473850E-02    0.491552E-02    0.516016E-02    0.514569E-02    0.458729E-02    0.348512E-02    0.133796E-01    0.108109E-01
    60    0.145103E-04    0.333174E-03    0.621501E-03    0.952103E-03    0.123842E-02    0.149776E-02    0.172585E-02    0.191630E-02    0.206645E-02    0.217166E-02    0.446855E-02    0.666744E-02    0.612947E-02    0.569321E-02    0.546639E-02    0.523754E-02    0.493045E-02    0.468499E-02    0.463489E-02    0.475996E-02    0.487459E-02    0.486525E-02    0.465462E-02    0.413200E-02    0.330410E-02    0.145351E-01    0.103698E-01
    80    0.111154E-04    0.257482E-03    0.490847E-03    0.772570E-03    0.104300E-02    0.131361E-02    0.157838E-02    0.182487E-02    0.204204E-02    0.221822E-02    0.468883E-02    0.732074E-02    0.668573E-02    0.601477E-02    0.569856E-02    0.545829E-02    0.509327E-02    0.475631E-02    0.471787E-02    0.487061E-02    0.486564E-02    0.460613E-02    0.418112E-02    0.368783E-02    0.316058E-02    0.161900E-01    0.993036E-02
   100    0.857801E-05    0.200355E-03    0.397667E-03    0.627851E-03    0.874136E-03    0.113598E-02    0.141204E-02    0.168677E-02    0.194624E-02    0.217756E-02    0.472438E-02    0.783913E-02    0.742441E-02    0.667986E-02    0.613847E-02    0.575074E-02    0.534198E-02    0.499522E-02    0.491688E-02    0.498361E-02    0.482912E-02    0.435997E-02    0.375802E-02    0.329226E-02    0.305955E-02    0.182651E-01    0.938923E-02
   120    0.699354E-05    0.162786E-03    0.339192E-03    0.519853E-03    0.733437E-03    0.969973E-03    0.122745E-02    0.149593E-02    0.176493E-02    0.202073E-02    0.449422E-02    0.803256E-02    0.816256E-02    0.753422E-02    0.676193E-02    0.615169E-02    0.569674E-02    0.535672E-02    0.516092E-02    0.502156E-02    0.470647E-02    0.411536E-02    0.341909E-02    0.298567E-02    0.299185E-02    0.200788E-01    0.870190E-02
   140    0.608572E-05    0.140727E-03    0.303154E-03    0.444023E-03    0.621036E-03    0.819684E-03    0.103907E-02    0.127504E-02    0.152340E-02    0.177543E-02    0.403550E-02    0.780773E-02    0.865967E-02    0.838232E-02    0.752391E-02    0.670639E-02    0.619381E-02    0.581088E-02    0.541414E-02    0.499941E-02    0.453353E-02    0.392299E-02    0.323385E-02    0.284432E-02    0.296958E-02    0.213856E-01    0.805450E-02
   160    0.552150E-05    0.127148E-03    0.276356E-03    0.389957E-03    0.534311E-03    0.693229E-03    0.868986E-03    0.106194E-02    0.127312E-02    0.149933E-02    0.347017E-02    0.721832E-02    0.868800E-02    0.896946E-02    0.828797E-02    0.739318E-02    0.676881E-02    0.623187E-02    0.560075E-02    0.494389E-02    0.437725E-02    0.380688E-02    0.320903E-02    0.287060E-02    0.298947E-02    0.216403E-01    0.785444E-02
   180    0.508834E-05    0.116566E-03    0.249854E-03    0.349865E-03    0.469234E-03    0.599201E-03    0.739642E-03    0.895078E-03    0.106824E-02    0.126113E-02    0.294239E-02    0.644406E-02    0.827062E-02    0.917393E-02    0.895797E-02    0.816776E-02    0.739373E-02    0.661014E-02    0.576012E-02    0.495846E-02    0.434838E-02    0.382269E-02    0.332955E-02    0.303459E-02    0.306667E-02    0.208726E-01    0.869425E-02
   200    0.464891E-05    0.106622E-03    0.222439E-03    0.318448E-03    0.423993E-03    0.536771E-03    0.657413E-03    0.788266E-03    0.934377E-03    0.109786E-02    0.255039E-02    0.569865E-02    0.758320E-02    0.901255E-02    0.947096E-02    0.898879E-02    0.808256E-02    0.703333E-02    0.598839E-02    0.515597E-02    0.453988E-02    0.397547E-02    0.354536E-02    0.328604E-02    0.322542E-02    0.196043E-01    0.110720E-01
   220    0.423047E-05    0.977437E-04    0.198469E-03    0.294730E-03    0.396125E-03    0.502985E-03    0.617261E-03    0.737530E-03    0.867950E-03    0.100929E-02    0.231960E-02    0.512726E-02    0.687334E-02    0.867609E-02    0.979966E-02    0.976996E-02    0.883599E-02    0.748577E-02    0.627724E-02    0.549221E-02    0.486892E-02    0.421445E-02    0.377144E-02    0.355598E-02    0.346295E-02    0.186185E-01    0.144443E-01
   240    0.397513E-05    0.923606E-04    0.183749E-03    0.282863E-03    0.384725E-03    0.493975E-03    0.608024E-03    0.727791E-03    0.851836E-03    0.981308E-03    0.222269E-02    0.477791E-02    0.637031E-02    0.834954E-02    0.998032E-02    0.104685E-01    0.964005E-02    0.804080E-02    0.668117E-02    0.592788E-02    0.527326E-02    0.449463E-02    0.401941E-02    0.385610E-02    0.379941E-02    0.183896E-01    0.186010E-01
   260    0.400689E-05    0.930267E-04    0.183018E-03    0.286385E-03    0.392247E-03    0.505223E-03    0.621744E-03    0.741860E-03    0.864869E-03    0.987626E-03    0.221597E-02    0.464546E-02    0.616570E-02    0.815199E-02    0.100202E-01    0.109563E-01    0.103976E-01    0.863913E-02    0.711663E-02    0.633366E-02    0.563561E-02    0.475446E-02    0.427251E-02    0.419019E-02    0.420556E-02    0.195123E-01    0.221035E-01
   280    0.434718E-05    0.100967E-03    0.198693E-03    0.305883E-03    0.417819E-03    0.532585E-03    0.651803E-03    0.771604E-03    0.893850E-03    0.101390E-02    0.226387E-02    0.467728E-02    0.626521E-02    0.810171E-02    0.990972E-02    0.110907E-01    0.108942E-01    0.920484E-02    0.755818E-02    0.665501E-02    0.589830E-02    0.500583E-02    0.459947E-02    0.457357E-02    0.463020E-02    0.217628E-01    0.239065E-01
   300    0.495719E-05    0.114477E-03    0.227317E-03    0.339648E-03    0.457310E-03    0.575322E-03    0.694358E-03    0.812347E-03    0.932454E-03    0.105268E-02    0.235395E-02    0.482401E-02    0.650410E-02    0.813296E-02    0.965297E-02    0.108111E-01    0.109526E-01    0.960743E-02    0.801352E-02    0.697541E-02    0.617550E-02    0.538402E-02    0.505367E-02    0.500616E-02    0.500022E-02    0.243538E-01    0.227873E-01
   320    0.565133E-05    0.129786E-03    0.257106E-03    0.379027E-03    0.503593E-03    0.627879E-03    0.748232E-03    0.866714E-03    0.990303E-03    0.111395E-02    0.249113E-02    0.503231E-02    0.670494E-02    0.811875E-02    0.929240E-02    0.103032E-01    0.106205E-01    0.972580E-02    0.846409E-02    0.743913E-02    0.664214E-02    0.600313E-02    0.563755E-02    0.540580E-02    0.524248E-02    0.271438E-01    0.184077E-01
   340    0.621255E-05    0.142025E-03    0.278038E-03    0.414366E-03    0.548650E-03    0.680956E-03    0.811183E-03    0.940484E-03    0.107253E-02    0.120086E-02    0.268311E-02    0.527759E-02    0.669969E-02    0.789779E-02    0.891903E-02    0.984269E-02    0.102260E-01    0.968055E-02    0.886281E-02    0.809913E-02    0.743067E-02    0.687201E-02    0.628262E-02    0.574626E-02    0.539593E-02    0.288268E-01    0.133235E-01
   360    0.652377E-05    0.149635E-03    0.290562E-03    0.439899E-03    0.583924E-03    0.726711E-03    0.870132E-03    0.100903E-02    0.114831E-02    0.128087E-02    0.284372E-02    0.546446E-02    0.639475E-02    0.740738E-02    0.839670E-02    0.922952E-02    0.945133E-02    0.898773E-02    0.859585E-02    0.837940E-02    0.807491E-02    0.758744E-02    0.672735E-02    0.594414E-02    0.550535E-02    0.298701E-01    0.101482E-01
   380    0.682624E-05    0.156853E-03    0.304367E-03    0.462233E-03    0.617704E-03    0.772573E-03    0.924676E-03    0.107209E-02    0.121850E-02    0.135342E-02    0.297431E-02    0.564203E-02    0.604888E-02    0.682800E-02    0.788794E-02    0.877754E-02    0.894713E-02    0.857108E-02    0.846650E-02    0.875350E-02    0.876105E-02    0.823598E-02    0.716481E-02    0.622043E-02    0.577774E-02    0.326098E-01    0.100575E-01
   400    0.734748E-05    0.169132E-03    0.333082E-03    0.495775E-03    0.661021E-03    0.821515E-03    0.977913E-03    0.112391E-02    0.126741E-02    0.139656E-02    0.303268E-02    0.571439E-02    0.576933E-02    0.628218E-02    0.737080E-02    0.826393E-02    0.842123E-02    0.820077E-02    0.829254E-02    0.894471E-02    0.915840E-02    0.863026E-02    0.748498E-02    0.655127E-02    0.618487E-02    0.363412E-01    0.124687E-01
   420    0.824492E-05    0.188373E-03    0.377411E-03    0.544334E-03    0.718638E-03    0.882050E-03    0.103795E-02    0.117888E-02    0.131332E-02    0.143264E-02    0.306290E-02    0.565679E-02    0.559935E-02    0.593667E-02    0.699852E-02    0.795152E-02    0.827256E-02    0.828745E-02    0.852004E-02    0.930908E-02    0.957609E-02    0.907995E-02    0.799619E-02    0.714052E-02    0.682803E-02    0.427339E-01    0.139324E-01
   440    0.921989E-05    0.209670E-03    0.427900E-03    0.594466E-03    0.778328E-03    0.942150E-03    0.109191E-02    0.122484E-02    0.134232E-02    0.144344E-02    0.305319E-02    0.533448E-02    0.545381E-02    0.574394E-02    0.681050E-02    0.780993E-02    0.832539E-02    0.850492E-02    0.876408E-02    0.946548E-02    0.970413E-02    0.935752E-02    0.855267E-02    0.790588E-02    0.761779E-02    0.498943E-01    0.125027E-01
   460    0.984183E-05    0.223617E-03    0.459211E-03    0.629107E-03    0.817185E-03    0.980832E-03    0.112419E-02    0.124284E-02    0.134236E-02    0.142272E-02    0.297719E-02    0.476501E-02    0.521115E-02    0.567008E-02    0.683618E-02    0.780924E-02    0.830298E-02    0.841864E-02    0.852385E-02    0.901112E-02    0.925219E-02    0.919045E-02    0.890906E-02    0.863436E-02    0.841323E-02    0.546629E-01    0.887371E-02
   480    0.977192E-05    0.222470E-03    0.454765E-03    0.631493E-03    0.816697E-03    0.980833E-03    0.112247E-02    0.123862E-02    0.133074E-02    0.140319E-02    0.292281E-02    0.428773E-02    0.503832E-02    0.585510E-02    0.720683E-02    0.824361E-02    0.866216E-02    0.862531E-02    0.852586E-02    0.871284E-02    0.891584E-02    0.908569E-02    0.928230E-02    0.944403E-02    0.930227E-02    0.568050E-01    0.438885E-02
   500    0.890953E-05    0.204257E-03    0.408430E-03    0.589282E-03    0.764779E-03    0.927583E-03    0.107416E-02    0.119978E-02    0.130429E-02    0.138730E-02    0.291594E-02    0.416049E-02    0.513106E-02    0.627543E-02    0.765166E-02    0.877275E-02    0.915234E-02    0.894719E-02    0.863730E-02    0.860851E-02    0.881960E-02    0.914023E-02    0.961773E-02    0.101002E-01    0.101215E-01    0.574641E-01    0.252454E-02
   520    0.748089E-05    0.172597E-03    0.333170E-03    0.510629E-03    0.673870E-03    0.831356E-03    0.984444E-03    0.112398E-02    0.124943E-02    0.136200E-02    0.292776E-02    0.449248E-02    0.558025E-02    0.681202E-02    0.794549E-02    0.898179E-02    0.937144E-02    0.898291E-02    0.855473E-02    0.843235E-02    0.873011E-02    0.919571E-02    0.981431E-02    0.104660E-01    0.107685E-01    0.576497E-01    0.402775E-02
   540    0.583473E-05    0.136045E-03    0.246306E-03    0.417953E-03    0.563447E-03    0.717700E-03    0.875828E-03    0.103248E-02    0.119071E-02    0.134334E-02    0.297761E-02    0.525612E-02    0.637010E-02    0.743773E-02    0.815044E-02    0.904653E-02    0.956781E-02    0.913706E-02    0.864949E-02    0.855877E-02    0.898580E-02    0.959699E-02    0.102442E-01    0.109080E-01    0.114696E-01    0.617773E-01    0.100152E-01
   560    0.439147E-05    0.103946E-03    0.169829E-03    0.332399E-03    0.462683E-03    0.607466E-03    0.767928E-03    0.937675E-03    0.111998E-02    0.130820E-02    0.299474E-02    0.610783E-02    0.727502E-02    0.811514E-02    0.842775E-02    0.903796E-02    0.960633E-02    0.917976E-02    0.876411E-02    0.882915E-02    0.943698E-02    0.102309E-01    0.109154E-01    0.115323E-01    0.122934E-01    0.714830E-01    0.194560E-01
   580    0.344825E-05    0.835336E-04    0.118847E-03    0.272556E-03    0.389383E-03    0.523096E-03    0.677302E-03    0.849434E-03    0.104359E-02    0.125515E-02    0.294596E-02    0.675712E-02    0.806301E-02    0.880775E-02    0.894593E-02    0.916406E-02    0.956440E-02    0.916259E-02    0.886722E-02    0.923210E-02    0.101389E-01    0.111814E-01    0.119373E-01    0.125516E-01    0.133836E-01    0.854529E-01    0.312739E-01
   600    0.319299E-05    0.784454E-04    0.104950E-03    0.251054E-03    0.360226E-03    0.481161E-03    0.620712E-03    0.778030E-03    0.961829E-03    0.117080E-02    0.278187E-02    0.689895E-02    0.844535E-02    0.941046E-02    0.965892E-02    0.936632E-02    0.918258E-02    0.879657E-02    0.887476E-02    0.975882E-02    0.111034E-01    0.123548E-01    0.131961E-01    0.139486E-01    0.147897E-01    0.101152E+00    0.434236E-01
   620    0.375594E-05    0.890663E-04    0.125502E-03    0.269943E-03    0.375955E-03    0.486525E-03    0.610070E-03    0.745565E-03    0.900684E-03    0.108497E-02    0.257030E-02    0.657717E-02    0.846068E-02    0.983994E-02    0.104091E-01    0.972705E-02    0.886654E-02    0.852294E-02    0.924181E-02    0.107709E-01    0.125030E-01    0.137615E-01    0.146632E-01    0.155273E-01    0.164249E-01    0.113624E+00    0.508660E-01
   640    0.472616E-05    0.110276E-03    0.169445E-03    0.320998E-03    0.432967E-03    0.539539E-03    0.649709E-03    0.760659E-03    0.886252E-03    0.103247E-02    0.238572E-02    0.597672E-02    0.814387E-02    0.993236E-02    0.108443E-01    0.992939E-02    0.858924E-02    0.833896E-02    0.989779E-02    0.122785E-01    0.143312E-01    0.153957E-01    0.162279E-01    0.173093E-01    0.182407E-01    0.120291E+00    0.523746E-01
   660    0.583929E-05    0.135416E-03    0.224792E-03    0.389459E-03    0.514687E-03    0.627535E-03    0.736460E-03    0.836068E-03    0.946081E-03    0.105695E-02    0.237423E-02    0.550894E-02    0.786202E-02    0.972230E-02    0.107612E-01    0.976420E-02    0.835880E-02    0.853183E-02    0.111305E-01    0.144022E-01    0.165778E-01    0.173073E-01    0.179252E-01    0.190250E-01    0.200737E-01    0.121225E+00    0.453108E-01
   680    0.675888E-05    0.156610E-03    0.276131E-03    0.457915E-03    0.602018E-03    0.743473E-03    0.866551E-03    0.981987E-03    0.109889E-02    0.120973E-02    0.264519E-02    0.547041E-02    0.788879E-02    0.939806E-02    0.102875E-01    0.936655E-02    0.847461E-02    0.946340E-02    0.129871E-01    0.168725E-01    0.189551E-01    0.192557E-01    0.195820E-01    0.206917E-01    0.218394E-01    0.114846E+00    0.322405E-01
   700    0.726188E-05    0.169269E-03    0.312771E-03    0.513615E-03    0.690741E-03    0.873219E-03    0.104576E-02    0.120682E-02    0.137360E-02    0.150653E-02    0.327678E-02    0.607133E-02    0.834553E-02    0.929070E-02    0.993798E-02    0.940599E-02    0.946349E-02    0.114980E-01    0.150390E-01    0.189757E-01    0.209733E-01    0.208010E-01    0.209258E-01    0.218794E-01    0.231893E-01    0.104428E+00    0.140604E-01
