2 1.05679e+03 3.85988e-02 1.89501e-06 2.98596e+00
3 1.00014e+03 5.54912e-02 3.79053e-06 3.49430e+00
4 9.44687e+02 5.44288e-02 6.31867e-06 3.40532e+00
5 9.02445e+02 4.14593e-02 9.48007e-06 3.00765e+00
6 8.72846e+02 2.60608e-02 1.32756e-05 2.50330e+00
7 8.53449e+02 1.45218e-02 1.77061e-05 2.01232e+00
8 8.41326e+02 8.33896e-03 2.27728e-05 1.59858e+00
9 8.34994e+02 5.93956e-03 2.84769e-05 1.28409e+00
10 8.32974e+02 5.13132e-03 3.48197e-05 1.07328e+00
11 8.33830e+02 4.56480e-03 4.18028e-05 9.57863e-01
12 8.38194e+02 3.92955e-03 4.94276e-05 9.21946e-01
13 8.43996e+02 3.42245e-03 5.76959e-05 9.40017e-01
14 8.51136e+02 3.22641e-03 6.66093e-05 9.84227e-01
15 8.58491e+02 3.32114e-03 7.61698e-05 1.04022e+00
16 8.67838e+02 3.55015e-03 8.63790e-05 1.10382e+00
17 8.79011e+02 3.84752e-03 9.72389e-05 1.16817e+00
18 8.90836e+02 4.19960e-03 1.08751e-04 1.22872e+00
19 9.04047e+02 4.68512e-03 1.20919e-04 1.28813e+00
20 9.17015e+02 5.36999e-03 1.33742e-04 1.34212e+00
21 9.30441e+02 6.25689e-03 1.47224e-04 1.39824e+00
22 9.44361e+02 7.34367e-03 1.61366e-04 1.46008e+00
23 9.58378e+02 8.59985e-03 1.76169e-04 1.52720e+00
24 9.72799e+02 1.00039e-02 1.91637e-04 1.59779e+00
25 9.87758e+02 1.15674e-02 2.07769e-04 1.66429e+00
26 1.00277e+03 1.33085e-02 2.24569e-04 1.72969e+00
27 1.01825e+03 1.52142e-02 2.42037e-04 1.79194e+00
28 1.03401e+03 1.72527e-02 2.60174e-04 1.84335e+00
29 1.04999e+03 1.94496e-02 2.78983e-04 1.88782e+00
30 1.06638e+03 2.18389e-02 2.98463e-04 1.91807e+00
31 1.08257e+03 2.44240e-02 3.18617e-04 1.94424e+00
32 1.09938e+03 2.72292e-02 3.39444e-04 1.96098e+00
33 1.11628e+03 3.02260e-02 3.60947e-04 1.96774e+00
34 1.13324e+03 3.34511e-02 3.83124e-04 1.96724e+00
35 1.15082e+03 3.69176e-02 4.05977e-04 1.95353e+00
36 1.16811e+03 4.06511e-02 4.29507e-04 1.93942e+00
37 1.18566e+03 4.46421e-02 4.53712e-04 1.91743e+00
38 1.20357e+03 4.88488e-02 4.78594e-04 1.88711e+00
39 1.22176e+03 5.32820e-02 5.04152e-04 1.84671e+00
40 1.24013e+03 5.79684e-02 5.30386e-04 1.79313e+00
41 1.25861e+03 6.29307e-02 5.57295e-04 1.72425e+00
42 1.27720e+03 6.81742e-02 5.84879e-04 1.64171e+00
43 1.29590e+03 7.36999e-02 6.13138e-04 1.54771e+00
44 1.31477e+03 7.95066e-02 6.42071e-04 1.44286e+00
45 1.33388e+03 8.55902e-02 6.71677e-04 1.32744e+00
46 1.35318e+03 9.19463e-02 7.01955e-04 1.20193e+00
47 1.37265e+03 9.85800e-02 7.32904e-04 1.06567e+00
48 1.39229e+03 1.05492e-01 7.64524e-04 9.17729e-01
49 1.41206e+03 1.12682e-01 7.96813e-04 7.57219e-01
50 1.43203e+03 1.20161e-01 8.29770e-04 5.83406e-01
51 1.45225e+03 1.27940e-01 8.63395e-04 3.95846e-01
52 1.47268e+03 1.36023e-01 8.97686e-04 1.95060e-01
53 1.49323e+03 1.44411e-01 9.32642e-04 -1.84008e-02
54 1.51390e+03 1.53102e-01 9.68262e-04 -2.44844e-01
55 1.53468e+03 1.62101e-01 1.00455e-03 -4.84946e-01
56 1.55568e+03 1.71400e-01 1.04149e-03 -7.39837e-01
57 1.57700e+03 1.80996e-01 1.07910e-03 -1.00990e+00
58 1.59861e+03 1.90884e-01 1.11737e-03 -1.29465e+00
59 1.62040e+03 2.01062e-01 1.15629e-03 -1.59332e+00
60 1.64237e+03 2.11521e-01 1.19588e-03 -1.90472e+00
61 1.66453e+03 2.22252e-01 1.23613e-03 -2.22786e+00
62 1.68686e+03 2.33253e-01 1.27703e-03 -2.56295e+00
63 1.70941e+03 2.44525e-01 1.31859e-03 -2.91049e+00
64 1.73216e+03 2.56069e-01 1.36082e-03 -3.27097e+00
65 1.75514e+03 2.67885e-01 1.40369e-03 -3.64497e+00
