1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.056787623685062954e+03 3.859694521767046554e-02 0.000000000000000000e+00 2.985961200840645979e+00 5.205347943514405899e-08 3.766589110015429800e-03 -1.713515166633911268e-05
3.000000000000000000e+00 1.000128650833551546e+03 5.548744378050367299e-02 0.000000000000000000e+00 3.494304834130871118e+00 6.327238645277289535e-08 3.557026280982018059e-03 -1.847144065987373321e-05
4.000000000000000000e+00 9.446760860283097827e+02 5.442247355717089174e-02 0.000000000000000000e+00 3.405318442676841251e+00 7.283839924681838463e-08 3.363811096468714932e-03 -1.654275987487556881e-05
5.000000000000000000e+00 9.024279948062304584e+02 4.144986128874755121e-02 0.000000000000000000e+00 3.007654954078493148e+00 8.112731402528979318e-08 3.185488265502503438e-03 -1.268041113053073147e-05
6.000000000000000000e+00 8.728224125717034667e+02 2.604756387000622259e-02 0.000000000000000000e+00 2.503303495877671203e+00 8.835653186284527334e-08 3.022675787588840340e-03 -7.995151239975362630e-06
7.000000000000000000e+00 8.534173691993676130e+02 1.450407741450743249e-02 0.000000000000000000e+00 2.012320897242981577e+00 9.471763328520363682e-08 2.876085023982597605e-03 -3.429078614556495193e-06
8.000000000000000000e+00 8.412858384367036706e+02 8.316188382205430898e-03 0.000000000000000000e+00 1.598579479363370526e+00 1.003434414648096596e-07 2.740717536731471053e-03 2.811540132945236244e-07
9.000000000000000000e+00 8.349439739890474357e+02 5.911085580192959599e-03 0.000000000000000000e+00 1.284097816554562677e+00 1.053475360958652392e-07 2.612939426530593717e-03 2.678755393487231937e-06
1.000000000000000000e+01 8.329126415492835349e+02 5.096506660043019152e-03 0.000000000000000000e+00 1.073291273240378096e+00 1.098023727337114324e-07 2.493255566417947912e-03 3.677609352449096226e-06
1.100000000000000000e+01 8.337563090021324115e+02 4.522996508107975447e-03 0.000000000000000000e+00 9.578777110833374131e-01 1.138053329983969332e-07 2.385669030386606843e-03 3.521598193046748164e-06
1.200000000000000000e+01 8.381080553324428593e+02 3.880125735036305586e-03 0.000000000000000000e+00 9.219660879578253088e-01 1.173597491391034988e-07 2.288665891455563504e-03 2.584945478885682244e-06
1.300000000000000000e+01 8.438954137121496615e+02 3.364761909633961438e-03 0.000000000000000000e+00 9.400447188744146532e-01 1.205712611387085755e-07 2.204780528770457909e-03 1.221698647786023232e-06
1.400000000000000000e+01 8.510206143797457798e+02 3.159809609585477550e-03 0.000000000000000000e+00 9.842635401449065791e-01 1.234292662741116657e-07 2.125802818433118139e-03 -2.399315592194604091e-07
