     0               2              12              22              32              42              52              62              72              82              92             102             132             162             192             222             252             282             312             342             372             402             432             462             492             522             552             652             752             852             952            1052            1152            1252            1352            1452            1552            1652            1752            1852            1952            2052            2152            2252            2352            2452            2752            3052            3352            3652            3952            4252            4552            4852
    20    0.718891E-05    0.157927E-03    0.305941E-03    0.446987E-03    0.580217E-03    0.702108E-03    0.811800E-03    0.910861E-03    0.998533E-03    0.107344E-02    0.227704E-02    0.387465E-02    0.420860E-02    0.456309E-02    0.496026E-02    0.540592E-02    0.583643E-02    0.618836E-02    0.643277E-02    0.657751E-02    0.665855E-02    0.674680E-02    0.688284E-02    0.707263E-02    0.727825E-02    0.161421E-01    0.243637E-01    0.212795E-01    0.172108E-01    0.114218E-01    0.413169E-02   -0.237657E-02   -0.679447E-02   -0.120931E-01   -0.152818E-01   -0.145145E-01   -0.155908E-01   -0.146819E-01   -0.102058E-01   -0.886023E-02   -0.652660E-02   -0.190160E-02   -0.501641E-03    0.100284E-02    0.754738E-02    0.158742E-01    0.128610E-01    0.799089E-02    0.417580E-02    0.192726E-02    0.813525E-03    0.322050E-03    0.121829E-03
    40    0.680396E-05    0.148546E-03    0.287813E-03    0.421770E-03    0.547842E-03    0.663100E-03    0.768506E-03    0.862638E-03    0.945410E-03    0.101744E-02    0.215984E-02    0.368116E-02    0.399904E-02    0.432001E-02    0.468100E-02    0.509780E-02    0.550654E-02    0.584517E-02    0.608075E-02    0.621335E-02    0.628983E-02    0.637302E-02    0.649421E-02    0.667789E-02    0.687710E-02    0.152846E-01    0.232792E-01    0.203064E-01    0.164785E-01    0.110360E-01    0.395030E-02   -0.240466E-02   -0.669199E-02   -0.118151E-01   -0.149293E-01   -0.142444E-01   -0.152444E-01   -0.143498E-01   -0.100523E-01   -0.866600E-02   -0.636946E-02   -0.189659E-02   -0.492554E-03    0.999342E-03    0.736340E-02    0.155466E-01    0.126256E-01    0.785890E-02    0.410457E-02    0.189460E-02    0.799695E-03    0.316613E-03    0.119707E-03
    60    0.651402E-05    0.142598E-03    0.276290E-03    0.405327E-03    0.527583E-03    0.639702E-03    0.742679E-03    0.835601E-03    0.917595E-03    0.989771E-03    0.210524E-02    0.360364E-02    0.392802E-02    0.424998E-02    0.460665E-02    0.499934E-02    0.538572E-02    0.570881E-02    0.593136E-02    0.606439E-02    0.613726E-02    0.621422E-02    0.633449E-02    0.650877E-02    0.671103E-02    0.149175E-01    0.228455E-01    0.199826E-01    0.162097E-01    0.108660E-01    0.382701E-02   -0.255153E-02   -0.691417E-02   -0.120159E-01   -0.151489E-01   -0.145433E-01   -0.154754E-01   -0.145413E-01   -0.102878E-01   -0.878095E-02   -0.643043E-02   -0.197151E-02   -0.470520E-03    0.106632E-02    0.747146E-02    0.158397E-01    0.128835E-01    0.802844E-02    0.419742E-02    0.193846E-02    0.818547E-03    0.323940E-03    0.122571E-03
    80    0.621674E-05    0.136925E-03    0.265630E-03    0.389717E-03    0.507378E-03    0.617132E-03    0.718116E-03    0.810195E-03    0.892329E-03    0.965747E-03    0.205974E-02    0.355520E-02    0.390403E-02    0.423734E-02    0.459165E-02    0.497250E-02    0.534084E-02    0.564227E-02    0.585499E-02    0.598463E-02    0.605999E-02    0.613535E-02    0.625487E-02    0.641741E-02    0.661335E-02    0.147290E-01    0.226138E-01    0.198270E-01    0.160633E-01    0.107227E-01    0.367978E-02   -0.278380E-02   -0.728065E-02   -0.124024E-01   -0.155697E-01   -0.150838E-01   -0.159053E-01   -0.149122E-01   -0.106858E-01   -0.901236E-02   -0.655800E-02   -0.208793E-02   -0.442355E-03    0.116309E-02    0.766231E-02    0.163782E-01    0.133600E-01    0.832901E-02    0.435791E-02    0.201427E-02    0.850493E-03    0.336773E-03    0.127419E-03
   100    0.603729E-05    0.131611E-03    0.254899E-03    0.374639E-03    0.488567E-03    0.594546E-03    0.693461E-03    0.784469E-03    0.867789E-03    0.942647E-03    0.202077E-02    0.353198E-02    0.391565E-02    0.427583E-02    0.464168E-02    0.501631E-02    0.536297E-02    0.564662E-02    0.584760E-02    0.597661E-02    0.605636E-02    0.614500E-02    0.625917E-02    0.641740E-02    0.659735E-02    0.146699E-01    0.225048E-01    0.197928E-01    0.160226E-01    0.105869E-01    0.351111E-02   -0.303864E-02   -0.775628E-02   -0.128947E-01   -0.160949E-01   -0.157619E-01   -0.164622E-01   -0.153833E-01   -0.111947E-01   -0.931232E-02   -0.671859E-02   -0.223829E-02   -0.412500E-03    0.129085E-02    0.791172E-02    0.170518E-01    0.139466E-01    0.871468E-02    0.456555E-02    0.211066E-02    0.891691E-03    0.353104E-03    0.133599E-03
   120    0.577241E-05    0.126963E-03    0.245773E-03    0.361007E-03    0.470752E-03    0.574375E-03    0.670991E-03    0.761392E-03    0.845206E-03    0.922323E-03    0.198645E-02    0.353062E-02    0.395812E-02    0.434446E-02    0.472085E-02    0.509432E-02    0.542519E-02    0.569898E-02    0.588828E-02    0.601935E-02    0.611333E-02    0.620739E-02    0.633039E-02    0.648365E-02    0.664540E-02    0.147538E-01    0.225376E-01    0.198415E-01    0.160426E-01    0.104771E-01    0.332695E-02   -0.332669E-02   -0.829514E-02   -0.134674E-01   -0.167050E-01   -0.165528E-01   -0.171057E-01   -0.159194E-01   -0.117852E-01   -0.965363E-02   -0.689931E-02   -0.241269E-02   -0.375195E-03    0.144286E-02    0.820709E-02    0.178314E-01    0.146362E-01    0.916637E-02    0.480808E-02    0.222479E-02    0.940036E-03    0.372408E-03    0.140871E-03
   140    0.564241E-05    0.123568E-03    0.238669E-03    0.350359E-03    0.456898E-03    0.558156E-03    0.653405E-03    0.743647E-03    0.827789E-03    0.906919E-03    0.196087E-02    0.354215E-02    0.402396E-02    0.444054E-02    0.482608E-02    0.519143E-02    0.551433E-02    0.577246E-02    0.597014E-02    0.610601E-02    0.621137E-02    0.631918E-02    0.644481E-02    0.659513E-02    0.675337E-02    0.149616E-01    0.226919E-01    0.199897E-01    0.161138E-01    0.103991E-01    0.314995E-02   -0.361739E-02   -0.887146E-02   -0.140783E-01   -0.173387E-01   -0.173968E-01   -0.177941E-01   -0.164844E-01   -0.124236E-01   -0.100145E-01   -0.708313E-02   -0.260614E-02   -0.331379E-03    0.161875E-02    0.851943E-02    0.186914E-01    0.153939E-01    0.966278E-02    0.507608E-02    0.235064E-02    0.993858E-03    0.393785E-03    0.148992E-03
   160    0.553316E-05    0.121535E-03    0.234275E-03    0.343515E-03    0.448156E-03    0.547424E-03    0.641587E-03    0.731800E-03    0.817085E-03    0.898241E-03    0.194892E-02    0.356228E-02    0.410325E-02    0.455415E-02    0.495020E-02    0.530041E-02    0.560821E-02    0.586433E-02    0.606243E-02    0.621449E-02    0.633806E-02    0.645455E-02    0.658437E-02    0.673438E-02    0.687557E-02    0.151484E-01    0.229679E-01    0.202143E-01    0.162724E-01    0.103812E-01    0.300286E-02   -0.387451E-02   -0.941878E-02   -0.146816E-01   -0.179704E-01   -0.182501E-01   -0.184914E-01   -0.170581E-01   -0.130839E-01   -0.103904E-01   -0.726467E-02   -0.281170E-02   -0.288162E-03    0.180814E-02    0.884703E-02    0.196061E-01    0.162099E-01    0.101959E-01    0.536431E-02    0.248706E-02    0.105212E-02    0.416935E-03    0.157753E-03
   180    0.552343E-05    0.121280E-03    0.233332E-03    0.341919E-03    0.445404E-03    0.543851E-03    0.637806E-03    0.728302E-03    0.814712E-03    0.897844E-03    0.195421E-02    0.359709E-02    0.418255E-02    0.467066E-02    0.507838E-02    0.542092E-02    0.571180E-02    0.595847E-02    0.616390E-02    0.633211E-02    0.647159E-02    0.660601E-02    0.673720E-02    0.687965E-02    0.701657E-02    0.154195E-01    0.233410E-01    0.205060E-01    0.164973E-01    0.104514E-01    0.291553E-02   -0.407997E-02   -0.990612E-02   -0.152506E-01   -0.185655E-01   -0.190765E-01   -0.191727E-01   -0.176125E-01   -0.137356E-01   -0.107580E-01   -0.743602E-02   -0.301098E-02   -0.236994E-03    0.201182E-02    0.918472E-02    0.205370E-01    0.170490E-01    0.107495E-01    0.566549E-02    0.262903E-02    0.111302E-02    0.441212E-03    0.166944E-03
